"published","link","site","text","title"
2023-11-08 13:39:42,https://news.detik.com/berita/d-7025435/duduk-perkara-polisi-nyaris-dibunuh-di-tangerang-dipicu-dendam-pelaku,detik.com,"Peristiwa ini dipicu dendam pelaku utama yang sakit hati terhadap istri korban.
Rio menjelaskan, berdasarkan pengakuan tersangka AI, istri korban ini membocorkan alamat hingga tempat bekerja tersangka AI.
""Menurut tersangka, istri korban ini tela",Duduk Perkara Polisi Nyaris Dibunuh di Tangerang Dipicu Dendam Pelaku
2023-11-08 13:38:05,https://kaltim.tribunnews.com/2023/11/08/7-fakta-polisi-gagalkan-peredaran-2-kg-sabu-di-samarinda-pelaku-ajak-anak-istri-saat-beraksi,tribunnews.com,"SABU 2 KILOGRAM- Kapolresta Samarinda Kombes Pol Ary Fadli bersama Kasatserse Narkoba Polresta Samarinda, Kompol Bambang Suhandoyo menunjukkan barang bukti sabu seberat 2 kilogram yang diamankan dari tersangka (MDP) melibatkan jaringan pengedar i","7 Fakta Polisi Gagalkan Peredaran 2 Kg Sabu di Samarinda, Pelaku Ajak Anak Istri saat Beraksi"
2023-11-08 13:37:47,https://medan.tribunnews.com/2023/11/08/pilu-bu-guru-termakan-rayuan-polisi-gadungan-mau-diajak-vcs-tak-tau-aksinya-direkam-kini-diperas,tribunnews.com,"TRIBUN-MEDAN.com - Pilu Bu Guru termakan rayuan polisi gadungan.
Ia mau diajak VCS dan tak tau aksinya direkam.
Kini Bu Guru itu pun diperas oleh pria yang sebenarnya berprofesi sebagai buruh itu.
Ilustrasi VCS - (IST)Terlanjur kesemsem polisi be","PILU Bu Guru Termakan Rayuan Polisi Gadungan, Mau Diajak VCS, tak Tau Aksinya Direkam Kini Diperas"
2023-11-08 13:37:46,https://mataraman.tribunnews.com/2023/11/08/pengakuan-suami-pembunuh-istri-di-garum-blitar-korban-tak-mengakui-selingkuh,tribunnews.com,"Pelaku pembunuhan terhadap istri saat berada di Polres Blitar, Rabu (8/11/2023).
TRIBUNMATARAMAN.COM - Mengenakan baju tahanan warna jingga, STS (73), terus menunduk saat polisi menggiringnya di lobi Polres Blitar, Rabu (8/11/2023).
Baca juga: BR",Pengakuan Suami Pembunuh Istri di Garum Blitar: Korban Tak Mengakui Selingkuh
2023-11-08 13:37:43,https://pontianak.tribunnews.com/2023/11/08/babak-baru-kasus-subang-kini-makin-banyak-sosok-terlibat-hingga-permohonan-lpsk-tersangka-danu,tribunnews.com,"Babak Baru Kasus Subang Kini Makin Banyak Sosok Terlibat hingga Permohonan LPSK Tersangka Danu.
TRIBUNPONTIANAK.CO.ID - Babak baru kasus Subang kini makin banyak sosok yang terlibat hingga LPSK turut bicara soal permohonan tersangka Danu.
Terbaru",Babak Baru Kasus Subang Kini Makin Banyak Sosok Terlibat hingga Permohonan LPSK Tersangka Danu
2023-11-08 13:37:28,https://news.detik.com/berita/d-7025426/polri-tangkap-1-060-tersangka-perdagangan-orang-dalam-5-bulan,detik.com,"Satgas Tindak Pidana Perdagangan Orang (TPPO) Polri mencatat total tersangka kasus perdagangan orang yang ditindak selama kurun lima bulan sebanyak 1.060 orang.
""Jumlah tersangka pada kasus TPPO sebanyak 1.060 orang,"" ujar Karo Penmas Divisi Huma",Polri Tangkap 1.060 Tersangka Perdagangan Orang dalam 5 Bulan
2023-11-08 13:36:59,https://surabaya.tribunnews.com/2023/11/08/pengakuan-suami-bunuh-istri-di-garum-blitar-dia-selingkuh-tapi-tak-mau-mengaku-pada-saya,tribunnews.com,"Pelaku pembunuhan terhadap istri saat berada di Polres Blitar, Rabu (8/11/2023).
SURYA.CO.ID, BLITAR - Memakai baju tahanan warna oranye, STS (73), terus menunduk saat polisi menggiringnya di lobi Polres Blitar, Rabu (8/11/2023).
STS merupakan pe",Pengakuan Suami Bunuh Istri di Garum Blitar : Dia Selingkuh Tapi Tak Mau Mengaku Pada Saya
2023-11-08 13:36:43,https://banjarmasin.tribunnews.com/2023/11/08/keadaan-asli-keuangan-rizky-billar-terekam-kala-bareng-lesti-kejora-belanja-bulanan,tribunnews.com,"BANJARMASINPOST.CO.ID - Pasangan penyanyi dangdut Lesti Kejora dan aktor Rizky Billar jadi sorotan.
Baru-baru ini, ayah Baby L pamer manjakan istri belanja bulanan sampai habis puluhan juta.
Baca juga: Boy William Kembali Bahas Hubungan dengan Ay",Keadaan Asli Keuangan Rizky Billar Terekam Kala Bareng Lesti Kejora Belanja Bulanan
2023-11-08 13:33:00,https://jateng.jpnn.com/jateng-terkini/9634/seusai-perayaan-1-abad-persis-solo-ratusan-sepeda-motor-ditilang-polisi,jpnn.com,"jateng.jpnn.com, SOLO - Ratusan sepeda motor berknalpot brong diamankan Polresta Surakarta saat perayaan 1 abad Persis Solo di Jalan Slamet Riyadi Surakarta, Rabu (08/11) dini hari.
Total ada 349 sepeda motor yang diamankan.
Kapolresta Surakarta ","Seusai Perayaan 1 Abad Persis Solo, Ratusan Sepeda Motor Ditilang Polisi"
2023-11-08 13:32:36,https://radarjogja.jawapos.com/gunungkidul/653260215/keluarga-korban-meninggal-akibat-peluru-bripka-mk-terima-uang-restitusi-rp-1576-juta,jawapos.com,"RADAR JOGJA - Keluarga mendiang Aldi Apriyanto, korban meninggal akibat kelalaian polisi menggunakan senjata api, menerima uang restitusi sebesar Rp 157.636.500.
Penyerahan uang restitusi atau ganti rugi yang dibebankan kepada Bripka MK.
Penyerah","Keluarga Korban Meninggal Akibat Peluru Bripka MK Terima Uang Restitusi Rp 157,6 Juta"
